epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.2845,1.1537,4.33457,1.52288,0.03109,0.66332,0.11271,0.0831,0.97262,4.7793,1.37546,0.000113814,0.000113814,0.000113814
2,15.386,0.94932,3.2764,1.33667,0.25617,0.36758,0.28861,0.21351,0.99383,3.96324,1.42285,0.000226549,0.000226549,0.000226549
3,22.5312,0.93523,2.79804,1.31893,0.34937,0.55264,0.39886,0.29716,0.92096,3.72256,1.35001,0.000337007,0.000337007,0.000337007
4,29.5946,0.91538,2.53261,1.29699,0.43734,0.54449,0.48205,0.35168,0.9918,3.37373,1.42116,0.000334753,0.000334753,0.000334753
5,36.6743,0.85793,2.29098,1.25423,0.45134,0.64785,0.56734,0.43773,0.88953,2.91219,1.29985,0.000331338,0.000331338,0.000331338
6,43.7637,0.82559,2.1049,1.2357,0.54365,0.71278,0.66609,0.53108,0.85751,2.62955,1.29328,0.000327922,0.000327922,0.000327922
7,50.8665,0.82639,1.98087,1.21789,0.6331,0.60433,0.68996,0.54287,0.83382,2.4524,1.25569,0.000324507,0.000324507,0.000324507
8,57.9789,0.79656,1.8327,1.19831,0.71139,0.71128,0.74261,0.56989,0.89221,2.19589,1.29611,0.000321091,0.000321091,0.000321091
9,65.1754,0.7817,1.70615,1.18031,0.71076,0.69499,0.76379,0.60822,0.82496,1.98795,1.23884,0.000317676,0.000317676,0.000317676
10,72.3174,0.75134,1.6173,1.16132,0.74416,0.69366,0.76816,0.61638,0.82786,1.95364,1.22042,0.000314261,0.000314261,0.000314261
11,79.477,0.73795,1.58329,1.15932,0.7017,0.76542,0.80318,0.64815,0.79715,1.81373,1.18478,0.000310845,0.000310845,0.000310845
12,86.6807,0.73203,1.48388,1.14606,0.8285,0.6908,0.82749,0.64794,0.80894,1.78898,1.21284,0.000307429,0.000307429,0.000307429
13,93.7796,0.72221,1.45025,1.15012,0.7657,0.77503,0.85707,0.68365,0.78918,1.70433,1.19314,0.000304014,0.000304014,0.000304014
14,100.904,0.71934,1.39792,1.14728,0.84174,0.77821,0.87154,0.69574,0.8239,1.51229,1.22012,0.000300598,0.000300598,0.000300598
15,107.966,0.70424,1.34918,1.12531,0.85515,0.72914,0.86309,0.69073,0.77502,1.55535,1.18119,0.000297183,0.000297183,0.000297183
16,115.033,0.70938,1.29881,1.12929,0.82828,0.82939,0.90005,0.71949,0.80688,1.41281,1.19531,0.000293768,0.000293768,0.000293768
17,122.171,0.70162,1.2532,1.1259,0.83546,0.82109,0.89068,0.72297,0.78845,1.30847,1.18895,0.000290352,0.000290352,0.000290352
18,129.255,0.71776,1.24488,1.13959,0.86108,0.83042,0.91681,0.7469,0.75537,1.25885,1.14353,0.000286936,0.000286936,0.000286936
19,136.386,0.68639,1.20733,1.11335,0.90992,0.7948,0.92757,0.75015,0.79502,1.17685,1.21439,0.000283521,0.000283521,0.000283521
20,143.542,0.68621,1.13937,1.11981,0.90279,0.81391,0.91638,0.73814,0.78226,1.20573,1.19361,0.000280106,0.000280106,0.000280106
21,150.636,0.65692,1.10127,1.10003,0.85615,0.87894,0.92361,0.74464,0.79192,1.12389,1.17429,0.00027669,0.00027669,0.00027669
22,157.747,0.67314,1.08728,1.10062,0.92653,0.88031,0.95072,0.7604,0.76919,1.03028,1.15167,0.000273275,0.000273275,0.000273275
23,164.889,0.64992,1.02198,1.09787,0.91719,0.87091,0.9504,0.76938,0.75681,0.99606,1.15201,0.000269859,0.000269859,0.000269859
24,172.133,0.64134,1.00344,1.07993,0.93843,0.86009,0.96132,0.76565,0.78486,0.95852,1.18732,0.000266444,0.000266444,0.000266444
25,179.235,0.65645,1.01552,1.09605,0.94372,0.88047,0.96607,0.78116,0.76881,0.95,1.14973,0.000263028,0.000263028,0.000263028
26,186.361,0.65019,0.99825,1.09365,0.94669,0.86984,0.95118,0.7669,0.75906,0.94594,1.15031,0.000259612,0.000259612,0.000259612
27,193.502,0.64886,0.96506,1.09135,0.93719,0.88831,0.96021,0.79151,0.73129,0.89357,1.13691,0.000256197,0.000256197,0.000256197
28,200.638,0.64163,0.96613,1.08912,0.91551,0.89618,0.95245,0.77957,0.72761,0.88685,1.13586,0.000252781,0.000252781,0.000252781
